spp,feeder
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,blue
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
anna,red
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,blue
costa,red
costa,red
costa,red
costa,red
costa,red
costa,red
costa,red
costa,red
costa,red
costa,red
allen,blue
allen,blue
allen,blue
allen,blue
allen,blue
allen,blue
allen,blue
allen,blue
allen,blue
allen,blue
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
allen,red
